"","Model","Parameter","Median","Mean","LHDI95","UHDI95","p","Rhat"
"1","Global","delta[1]",0.19,0.18,-0.68,1.1,0.65,1.01
"2","Global","delta[2]",-0.39,-0.38,-0.93,0.12,0.08,1
"3","Global","delta[3]",-0.41,-0.41,-0.97,0.11,0.07,1
"4","Global","beta[1]",4.1,4.1,2.1,6,1,1.03
"5","Global","beta[2]",-2.5,-2.5,-3.7,-1.5,0,1.03
"6","Global","mean.s[1]",0.92,0.9,0.79,0.99,1,1
"7","Global","mean.s[2]",0.97,0.97,0.93,1,1,1
"8","Global","mean.s[3]",0.98,0.97,0.94,0.99,1,1.01
"9","Global","mean.tagfail",0.65,0.63,0.28,0.95,1,1.04
"10","Global","mean.p.tagfail",0.13,0.15,0.03,0.29,1,1.04
"11","Global","mean.p.dead",0.54,0.55,0.25,0.84,1,1
"12","Reduced","beta[1]",3.8,3.9,2,5.9,1,1.01
"13","Reduced","beta[2]",-2.5,-2.5,-3.6,-1.6,0,1.01
"14","Reduced","mean.s[1]",0.94,0.94,0.88,0.99,1,1
"15","Reduced","mean.s[2]",0.98,0.98,0.96,1,1,1
"16","Reduced","mean.s[3]",0.99,0.98,0.97,0.99,1,1
"17","Reduced","mean.tagfail",0.62,0.61,0.26,0.94,1,1
"18","Reduced","mean.p.tagfail",0.12,0.13,0.038,0.25,1,1
"19","Reduced","mean.p.dead",0.59,0.6,0.33,0.89,1,1
