"","x"
"1","2017"
"2","2018"
"3","151329"
"4","AG082"
"5","AG083"
"6","AG084"
"7","AG085"
"8","AG088"
"9","AG089"
"10","AG092"
"11","AG096"
"12","AG097"
"13","Ag432"
"14","ST2010-1043"
"15","ST2010-1044"
"16","ST2010-1045"
"17","ST2010-1046"
"18","ST2010-1048_2"
"19","ST2010-1050"
"20","ST2010-1051"
"21","ST2010-1052"
"22","ST2010-1053"
"23","ST2010-1054"
"24","ST2010-1056"
"25","ST2010-1057"
"26","171605 (Matira)"
"27","171609 (Charlie)"
"28","171611 (Porini)"
"29","171610 (Kinyei)"
"30","171604/adWBV05"
"31","171608/adWBV06"
"32","171612 (Olarro)"
"33","171613 (Tipilikwani)"
"34","171606 (Ilkeliani)"
"35","171611 (Soysambu/adRV01)"
"36","pfs1809"
"37","pfs1808"
"38","Pfs1810"
"39","Pfs 1806"
"40","Pfs 1807"
"41","Pfs 1804"
"42","Pfs 1902"
"43","182848"
"44","192089"
"45","192090"
"46","192096"
"47","192097"
"48","192098"
"49","192099"
"50","192101"
"51","192102"
"52","192104"
"53","192106"
"54","200601"
"55","200603"
"56","200604"
"57","200607"
"58","202888"
"59","213828"
"60","213832"
"61","213833"
"62","213834"
"63","213837"
"64","192100"
"65","5114"
"66","213819"
"67","200608"
"68","202891"
"69","213823"
