"","Model","Parameter","Median","Mean","LHDI95","UHDI95"
"1","State 2 to 3","mean.s[1]",0.938,0.934,0.873,0.989
"2","State 2 to 3","mean.s[2]",0.979,0.977,0.959,0.994
"3","State 2 to 3","mean.s[3]",0.977,0.976,0.965,0.989
"4","State 2 to 4","mean.s[1]",0.94,0.936,0.876,0.991
"5","State 2 to 4","mean.s[2]",0.981,0.98,0.964,0.996
"6","State 2 to 4","mean.s[3]",0.98,0.98,0.969,0.991
"7","State 2 to 5","mean.s[1]",0.938,0.933,0.873,0.989
"8","State 2 to 5","mean.s[2]",0.978,0.977,0.959,0.994
"9","State 2 to 5","mean.s[3]",0.979,0.978,0.966,0.992
"10","Reduced","mean.s[1]",0.94,0.935,0.875,0.99
"11","Reduced","mean.s[2]",0.981,0.98,0.963,0.996
"12","Reduced","mean.s[3]",0.985,0.985,0.974,0.994
